type,release_year,runtime,genres,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
SHOW,2009,42,6,1,7.7,314422.0,479.354,8.348
SHOW,2002,23,6,1,8.4,96729.0,218.843,8.363
MOVIE,2008,110,4,2,6.7,384995.0,33.101,6.5
MOVIE,2006,144,3,5,8.0,649676.0,40.164,7.518
SHOW,2010,22,7,2,7.6,20910.0,52.369,8.1
MOVIE,2007,117,3,1,6.510860655737705,23439.382473841553,0.055091,9.0
SHOW,2003,21,2,1,8.8,63107.0,14.116,8.1
MOVIE,2004,128,3,1,7.4,441752.0,21.384,7.3
MOVIE,2007,114,3,1,7.2,165109.0,16.97,6.7
MOVIE,2002,117,4,1,7.7,265216.0,18.739,7.4
SHOW,2010,25,6,1,6.9,24838.0,71.494,8.221
MOVIE,2003,125,4,1,8.0,437650.0,21.158,7.769
MOVIE,2008,131,3,1,7.5,446904.0,28.341,7.3
MOVIE,2004,163,5,3,7.3,527447.0,48.407,7.1
MOVIE,2009,129,3,4,7.6,625708.0,43.297,7.2
SHOW,2001,25,2,1,8.6,42733.0,22.603,8.0
MOVIE,2003,135,3,2,7.6,476101.0,36.484,7.1
SHOW,2003,44,1,1,5.6,17905.0,14.501,5.3
MOVIE,2008,110,3,1,6.5,216695.0,22.421,6.2
MOVIE,2008,106,2,2,6.6,444241.0,31.298,6.304
MOVIE,2009,129,2,1,7.6,327675.0,63.663,7.661
MOVIE,2001,196,4,1,6.510860655737705,23439.382473841553,4.147341,9.8
MOVIE,2003,90,1,1,7.3,240433.0,19.558,7.181
MOVIE,2007,101,4,1,7.2,745093.0,69.139,7.192
SHOW,2001,23,5,2,7.2,38046.0,67.192,7.7
MOVIE,2010,102,3,1,5.9,249934.0,98.37,6.333
MOVIE,2004,110,3,1,6.7,223380.0,37.315,6.7
SHOW,2004,25,2,1,7.4,17864.0,33.115,8.6
MOVIE,2010,115,1,1,6.510860655737705,23439.382473841553,17.007,7.4
MOVIE,2009,140,5,2,7.0,300773.0,85.039,6.7
MOVIE,2001,89,1,1,5.7,105352.0,36.438,5.8
MOVIE,2001,124,2,1,7.5,258431.0,24.348,7.4
MOVIE,2008,92,4,1,6.4,476593.0,121.985,6.33
SHOW,2007,26,3,1,6.7,38877.0,100.996,8.0
MOVIE,2006,117,2,1,8.0,501457.0,47.893,7.9
MOVIE,2003,110,4,1,7.3,150339.0,16.309,7.2
MOVIE,2008,92,4,2,7.0,230333.0,72.224,6.6
MOVIE,2003,128,3,1,6.7,121364.0,14.619,6.6
MOVIE,2004,83,1,1,7.0,194695.0,15.026,6.5
MOVIE,2001,91,3,2,5.6,87083.0,50.592,6.2
SHOW,2008,44,5,1,7.9,80927.0,74.931,7.9
SHOW,2010,22,6,1,7.9,6636.0,28.925,8.0
MOVIE,2009,90,7,1,6.9,229274.0,58.945,6.6
SHOW,2001,47,1,2,7.6,1155.0,2.189,7.8
SHOW,2010,44,2,1,8.3,4880.0,10.243,7.0
MOVIE,2007,109,1,1,6.0,119606.0,38.491,6.2
SHOW,2006,24,6,1,8.7,62367.0,35.011,8.493
MOVIE,2002,88,3,1,6.6,94423.0,25.23,6.3
MOVIE,2008,94,3,1,5.8,82159.0,12.789,5.6
MOVIE,2006,99,5,1,6.8,149070.0,16.31,7.0
MOVIE,2007,91,4,1,6.5,26293.0,13.131,6.7
MOVIE,2010,118,5,1,6.8,314920.0,30.476,6.8
MOVIE,2006,143,3,2,8.0,541547.0,47.39,7.5
MOVIE,2005,95,4,1,6.7,108029.0,17.486,6.9
MOVIE,2008,106,5,1,8.0,222372.0,21.074,7.7
MOVIE,2008,123,4,1,6.8,249016.0,27.013,6.7
MOVIE,2009,97,2,1,5.5,106970.0,45.551,5.8
SHOW,2007,24,5,1,8.3,17024.0,27.924,8.2
MOVIE,2010,116,5,2,7.1,121008.0,22.791,6.8
SHOW,2008,141,7,1,7.6,19812.0,9.68,7.3
MOVIE,2010,95,4,1,5.2,99894.0,39.672,5.5
SHOW,2004,23,7,1,6.2,6700.0,25.633,8.222
